3, B02cen3eky4ijqt5cjknq6cik7e8/S2ce3ckr4jtwy5cejk6-an, 10, 10, 18, bo$2o!
3, B01e2-in3-ajkr4crwz5qy6-ac7e/S01e2-ck3-ceir4-aeiz5cknqr6ei, 9, 9, 18, 2o$o!
3, B012ci3-ajqy4crw5cijkn6en7c8/S02eik3-ejnq4n5jkny6ek7e, 8, 8, 18, bo$2o!
3, B012cik3ainy4ejktyz5iq6cik7e8/S01c2-k3-akny4etwyz5knr6en, 7, 7, 18, bo$2o!
3, B01c2ace3-nqry4-cknrz5-cei6ckn/S012-ce3r4-jnwyz5cikqr6ein, 6, 6, 18, 2bo2$2o!
3, B01c2ack3-jkry4-acn5i6cei7c8/S12ak3-einr4jkny5cey6ek, 5, 5, 18, 2o$o!
3, B02n3cer4ijqw5ejqy6in7c8/S2ckn3-eiq4cijkntw5enqy6in7e, 4, 4, 18, o$2bo3$2bo!
3, B01e2cei3-ekr4acejqty5ak6i7e/S2ikn3jqr4ainqw5aknr6k, 3, 3, 18, bo$2o!
3, B012i3eknqr4-eijtw5aikr6in8/S1c2kn4cj5j6n, 2, 2, 18, bo$2o!
3, B012aci3ir4aijn5acjy6e8/S1c2ack3ajr4aceijyz5knq6-an, 1, 1, 18, 5bo2$3bo2$o!
3, B01e2cen3eiqr4ceqy5ackq6cin/S02cek3kq4y5e6ae, 15, 15, 20, bo2$bo$o!
3, B02-kn3-acry4akqtyz5cenqy6-ci7e/S023acery4acekqry5ijq6ae, 14, 14, 20, 2o2$bo!
3, B02aei3-q4acjntw5-cik7e/S01c2-kn3ainqy4aekqy5cijnq6a, 13, 13, 20, 2o$o!
3, B02cei3cek4cij5nr6ain7e/S02-an3ejnr4eijty5kry6cek7e, 12, 12, 20, 2bo2$obo!
3, B01e2-k3-akn4cej5aeiny6ekn7/S012ak3iky4ckwz5iy6ae, 11, 11, 20, bo$2o!
3, B012-an3cejkq4aceijr5cejnr6ek/S1c2cei3an4artwz5aeky6ein, 10, 10, 20, bo$2o!
3, B012-i3ciny4jqrwyz5ejkr6c7/S1e2eik3-cejk4ceinrwy5ek6eik7e, 9, 9, 20, obo2$o!
3, B012ack3eijk4cikrw5aiqr6cen/S2eik3-ejqr4ekqrty5cekq6ae, 8, 8, 20, o2$2bobo!
3, B02in3-aijn4cijqwyz5-aein6ain7/S2akn3cejqy4-ciqwy5cejk6kn, 7, 7, 20, bo$o$2bo!
3, B012-ai3cny4airtwyz5ckn6ck78/S12aen3-aijk4ejqr5ijnq6ei, 6, 6, 20, bo$2o!
3, B012-n3jnqry4cenr5ekq6ein78/S2kn3jkn4-ejqrt5-any6cei, 5, 5, 20, 2bo2$obo!
3, B012ack3ijkry4cejnqtz5akqry6-ik8/S1e2eik3-acey4cejwyz5iknr6in, 4, 4, 20, 3bo$obo!
3, B01e2ek3aijkq4-inqry5aejk7e8/S1e2ik3ejq4aerty5qr6n, 3, 3, 20, bo$2o!
3, B012-in3-cek4aeijnqr5cjkqr6ck78/S1e2ain3-eqr4eiyz5einy6an, 2, 2, 20, o2$o$bo!
3, B012-k3ackqy4acjknqr5-ejky6eik7/S2cik3enry4-inqt5ry6ein, 1, 1, 20, bo$o$o!
3, B012ce3cky4ajrz5nr6ek7c/S1c2ek3anq4ary6ein, 11, 11, 22, bo$2o!
3, B01e2ckn4acinty5en/S01e3ain4ik, 5, 5, 22, bo$2o!
3, B01e2ace3-ajny4cj5acij6ekn7c/S012ak3i4kw5i6ae, 4, 4, 22, bo$2o!
5, B01c3cejr4t5cj/S02c4jq5cijq6n, 3, 3, 22, 3bo2$2bo$o2bo$4bo!
3, B01e2cei3-eky4-knrwy5aekq8/S2kn3jr4-cikry5knq6n, 2, 2, 22, bo$2o!
3, B012i3knqry4aeiqryz5akqr/S1c2kn3cinr4ejrt5ejy6i, 1, 1, 22, bo$2o!
6, B013-cknr4ejktw5ij7e/S012c3ar4ct5aey6in, 12, 12, 24, o2$o3bo$4bo$2b2o!
6, B02346/S01234, 9, 9, 24, 4o$bobo!
3, B01e2-kn3-acey4-kwz5-ery6k/S012-ce3ceny4-enqyz5nqry6ae, 8, 8, 24, o2$4bo$3bo!
3, B012aen3-ceqy4-ceknw5-ejr6eik7e/S2ek3einry4wyz6e, 6, 6, 24, o$obo!
3, B02ac3r4iy5eknqr/S2i3ary4ijwz5n6i, 4, 4, 24, o$o$bo!
3, B012aci3-cjnr4ijqrwy5qr6aei7e8/S012acn3iknr4ckrw5cikr6ain, 3, 3, 24, bo2$2bo$o!
3, B01e2ckn4acnty/S01e2cn3-ceqy4y, 2, 2, 24, bo$2o!
3, B012ik3-ceky4ceikryz5acen6cn7e8/S012-ck3ceikq4ajy5-cekq6en, 1, 1, 24, o2$2bo$2bo!
5, B013ae4k5aejk6k/S2n3n4kq5ackr6cin, 13, 13, 26, bo$obo$b2o!
3, B012ci3acijn4cqrty5jky6ak7/S013aj4z6c, 3, 3, 26, o$bo$bo!
3, B01e2c3eik8/S02aen4jqtw5y6ei, 2, 2, 26, bo$2o!
3, B01c2ae3e4ajz5cey6-an/S02kn3ijq4-acirt5ejq6ek, 1, 1, 26, 2bo2$obo!
6, B013aeijy4ejw5cijkq7e/S012c3aejr4cjt5a, 14, 14, 28, o2$o3bo$4bo$2b2o!
3, B012-ak3-ceiq4-jkqy5-aceq6ik/S12aen3airy4jqt5cir6-ak, 7, 7, 28, 3bo$o2bo!
3, B0123-cek4ciknqtz5aijnq6-i/S2-ik3-jnqy4eiky5i6-i, 6, 6, 28, 2bo2$2o!
3, B01c2c3-anry4e5cj/S12in3e4rz5cejnr6en, 5, 5, 28, o2$o$bo!
3, B012ain3cjn4ceitw5cijkr6e/S12cek3-cj4inrt5cej6-an, 4, 4, 28, 2bo2$2bo$o!
3, B01e2n3ijky4jw/S1e2ek3inry4t5q6i, 3, 3, 28, o$bo$bo!
3, B013eknr4aqry5a6k/S1c2ikn3cein4cekrtz5ejy6cin, 2, 2, 28, 2o$o!
3, B01e2ckn3e4acinty6k/S01e3ai4k, 1, 1, 28, 2o$o!
6, B013ijq4w5ij7e/S012c3ajr4etwy5aek, 15, 15, 30, o2$o3bo$4bo$2b2o!
3, B01e2-ae3ekq4-ikqwz5eq/S01e3aij, 5, 5, 30, 2o$o!
3, B012-i3-cny4-ait5ckqry6ai7c/S02-en3aen4cejqtw5inqry6-ek, 3, 3, 30, 3bo$obo!
